Interval,Transfer,Bandwidth,Retr,Cwnd
162.00-163.00,639795.2,640000.0,2,11386.88
163.00-164.00,0.00,0.00,1,11386.88
164.00-165.00,1941504.0,1940000.0,16,319488.0
165.00-166.00,13421772.8,13400000.0,0,422707.2
166.00-167.00,12750684.16,12800000.0,0,434176.0
167.00-168.00,12163481.6,12100000.0,0,434176.0
168.00-169.00,12499025.92,12500000.0,0,445644.8
169.00-170.00,7356416.0,7360000.0,1,11386.88
170.00-171.00,0.00,0.00,1,11386.88
171.00-172.00,0.00,0.00,1,11386.88
172.00-173.00,8019968.0,8020000.0,29,411238.4
173.00-174.00,13421772.8,13400000.0,0,422707.2
174.00-175.00,14092861.44,14100000.0,0,434176.0
175.00-176.00,10905190.4,10900000.0,0,434176.0
176.00-177.00,8640266.24,8640000.0,0,445644.8
177.00-178.00,0.00,0.00,2,11386.88
178.00-179.00,0.00,0.00,1,11386.88
179.00-180.00,2277376.0,2270000.0,13,330956.8
180.00-181.00,14680064.0,14700000.0,0,422707.2
181.00-182.00,11156848.64,11200000.0,0,434176.0
182.00-183.00,14092861.44,14100000.0,0,434176.0
183.00-184.00,10905190.4,10900000.0,0,445644.8
184.00-185.00,4800512.0,4800000.0,1,11386.88
185.00-186.00,0.00,0.00,1,11386.88
186.00-187.00,0.00,0.00,1,11386.88
187.00-188.00,9311354.88,9290000.0,11,411238.4
188.00-189.00,12499025.92,12500000.0,0,434176.0
189.00-190.00,13757317.12,13800000.0,0,434176.0
190.00-191.00,15015608.32,15000000.0,0,434176.0
191.00-192.00,10569646.08,10500000.0,0,434176.0
192.00-193.00,14680064.0,14700000.0,0,468582.4
193.00-194.00,15015608.32,15100000.0,0,468582.4
194.00-195.00,14680064.0,14700000.0,0,468582.4
195.00-196.00,14428405.76,14400000.0,0,468582.4
196.00-197.00,13757317.12,13800000.0,0,720076.8
197.00-198.00,0.00,0.00,2,11386.88
198.00-199.00,13337886.72,13300000.0,12,502988.8
