Interval;Transfer;Bandwidth;Retr;Cwnd
449.00-450.00 sec;0.00 Bytes;0.00 bits/sec;2;6.97 KBytes
450.00-451.00 sec;39.0 KBytes;320 Kbits/sec;0;11.2 KBytes
451.00-452.00 sec;0.00 Bytes;0.00 bits/sec;0;11.2 KBytes
452.00-453.00 sec;0.00 Bytes;0.00 bits/sec;0;11.2 KBytes
453.00-454.00 sec;0.00 Bytes;0.00 bits/sec;1;6.97 KBytes
454.00-455.00 sec;0.00 Bytes;0.00 bits/sec;6;6.97 KBytes
455.00-456.00 sec;0.00 Bytes;0.00 bits/sec;1;5.58 KBytes
456.00-457.00 sec;0.00 Bytes;0.00 bits/sec;1;4.18 KBytes
457.00-458.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
458.00-459.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
459.00-460.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
460.00-461.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
461.00-462.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
462.00-463.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
463.00-464.00 sec;0.00 Bytes;0.00 bits/sec;1;4.18 KBytes
464.00-465.00 sec;0.00 Bytes;0.00 bits/sec;0;4.18 KBytes
465.00-466.00 sec;0.00 Bytes;0.00 bits/sec;1;2.79 KBytes
466.00-467.00 sec;0.00 Bytes;0.00 bits/sec;0;2.79 KBytes
467.00-468.00 sec;0.00 Bytes;0.00 bits/sec;0;2.79 KBytes
468.00-469.00 sec;39.0 KBytes;320 Kbits/sec;0;4.18 KBytes
469.00-470.00 sec;0.00 Bytes;0.00 bits/sec;1;4.18 KBytes
470.00-471.00 sec;0.00 Bytes;0.00 bits/sec;1;4.18 KBytes
471.00-472.00 sec;0.00 Bytes;0.00 bits/sec;1;2.79 KBytes
472.00-473.00 sec;0.00 Bytes;0.00 bits/sec;0;2.79 KBytes
473.00-474.00 sec;0.00 Bytes;0.00 bits/sec;0;4.18 KBytes
474.00-475.00 sec;0.00 Bytes;0.00 bits/sec;0;4.18 KBytes
475.00-476.00 sec;0.00 Bytes;0.00 bits/sec;0;4.18 KBytes
476.00-477.00 sec;0.00 Bytes;0.00 bits/sec;1;5.58 KBytes
477.00-478.00 sec;0.00 Bytes;0.00 bits/sec;1;2.79 KBytes
478.00-479.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
479.00-480.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
480.00-481.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
481.00-482.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
482.00-483.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
483.00-484.00 sec;0.00 Bytes;0.00 bits/sec;0;1.39 KBytes
484.00-485.00 sec;41.8 KBytes;343 Kbits/sec;2;2.79 KBytes
485.00-486.00 sec;0.00 Bytes;0.00 bits/sec;0;4.18 KBytes
486.00-487.00 sec;0.00 Bytes;0.00 bits/sec;0;6.97 KBytes
487.00-488.00 sec;0.00 Bytes;0.00 bits/sec;2;4.18 KBytes
488.00-489.00 sec;39.0 KBytes;320 Kbits/sec;0;6.97 KBytes
489.00-490.00 sec;0.00 Bytes;0.00 bits/sec;0;6.97 KBytes
490.00-491.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
491.00-492.00 sec;0.00 Bytes;0.00 bits/sec;1;4.18 KBytes
492.00-493.00 sec;0.00 Bytes;0.00 bits/sec;0;4.18 KBytes
493.00-494.00 sec;0.00 Bytes;0.00 bits/sec;0;5.58 KBytes
494.00-495.00 sec;39.0 KBytes;320 Kbits/sec;0;6.97 KBytes
495.00-496.00 sec;39.0 KBytes;320 Kbits/sec;0;9.76 KBytes
496.00-497.00 sec;0.00 Bytes;0.00 bits/sec;0;9.76 KBytes
497.00-498.00 sec;0.00 Bytes;0.00 bits/sec;1;1.39 KBytes
498.00-499.00 sec;0.00 Bytes;0.00 bits/sec;5;6.97 KBytes
499.00-500.00 sec;119 KBytes;971 Kbits/sec;0;12.6 KBytes
- - - - - - - - -;- - - - - -;- - - - - - -;;
Interval;Transfer;Bandwidth;Retr;
0.00-500.00 sec;79.3 MBytes;1.33 Mbits/sec;524;sender
0.00-500.00 sec;79.2 MBytes;1.33 Mbits/sec;;receiver
;;;;
Done.;;;;
